Latin Name,Common Name,Moisture,Wind Resistance,Edibility,Medicinal Rating,image
Bactris gasipaes,Peach Palm,M,W,5,2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Pupunha_%28Bactris_gasipaes%29_2.jpg/440px-Pupunha_%28Bactris_gasipaes%29_2.jpg
Byrsonima crassifolia,"Golden Spoon, Nance, Nancy Tree",M,W,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Byrsonima_crassifolia_1.jpg/440px-Byrsonima_crassifolia_1.jpg
Canarium ovatum,Pili Nut,M,W,4,3,https://media.istockphoto.com/photos/unshelled-pili-nuts-full-frame-picture-id653833228?b=1&k=6&m=653833228&s=170667a&w=0&h=l3Kew6JmM0vFVNN1fEu-MJ1SHy-o8thIRYiz3krZC5s=
Castanea sativa,"Sweet Chestnut, European chestnut",M,M,5,2,https://cdn.pixabay.com/photo/2015/11/13/13/14/chestnut-1041979__480.jpg
Chrysobalanus icaco,"Coco Plum, Paradise Plum",M,W,4,2,https://plants.usda.gov/gallery/standard/chic_001_shp.jpg
Chrysophyllum cainito,"Star Apple, Caimito",M,W,4,2,https://cdn.pixabay.com/photo/2016/03/22/02/18/fruit-1272094__480.jpg
Cornus capitata,Bentham's Cornel,M,M,4,1,https://plants.usda.gov/gallery/standard/coca45_001_svp.jpg
Cornus elliptica,Dogwood,M,M,4,1,https://cdn.pixabay.com/photo/2020/07/26/11/05/fruits-5439152__480.jpg
Corylus avellana,"Common Hazel, Common filbert, European Filbert, Harry Lauder's Walking Stick, Corkscrew Hazel, Hazel",M,W,5,2,https://cdn.pixabay.com/photo/2018/02/18/19/40/hazel-3163262__480.jpg
Crataegus arnoldiana,Arnold Hawthorn,We,W,5,2,https://pfaf.org/Admin/PlantImages/CrataegusArnoldiana.jpg
Crataegus azarolus,Azarole,We,W,4,2,https://pfaf.org/Admin/PlantImages/CrataegusAzarolus2.gif
Crataegus champlainensis,Quebec hawthorn,We,W,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Crataegus-submollis-fruit.jpg/440px-Crataegus-submollis-fruit.jpg
Crataegus douglasii,Black Hawthorn,We,W,4,2,https://pfaf.org/Admin/PlantImages/CrataegusDouglasii.gif
Crataegus ellwangeriana,Scarlet Hawthorn,We,W,5,2,https://pfaf.org/Admin/PlantImages/CrataegusEllwangeriana.jpg
Crataegus holmesiana,Holmes' hawthorn,We,W,4,2,https://pfaf.org/Admin/PlantImages/CrataegusHolmesiana2.gif
